id,name,tribe1,tribe2,rarity,cost,culture1,culture2,category,series
JMBT,クリスタル・ブレイダー,リキッド・ピープル,,VR,2,水,,クリーチャー,英雄の時空
4EBT,エマージェンシー・タイフーン,呪文,,UC,2,水,,呪文,英雄の時空
DEBU,アクア・トランサー,リキッド・ピープル,,C,3,水,,クリーチャー,英雄の時空
AABU,ルナ・イーグル,サイバー・ムーン,,C,3,水,,クリーチャー,英雄の時空
MQBT,ビコラキス,シー・ハッカー,,R,3,水,,クリーチャー,英雄の時空
GIBU,イリュージョン・フィッシュ,ゲル・フィッシュ,,C,4,水,,クリーチャー,英雄の時空
JMBU,エレキチューブ・マンタ,ゲル・フィッシュ,,C,5,水,,クリーチャー,英雄の時空
ZABT,アクア・ハルク,リキッド・ピープル,,UC,5,水,,クリーチャー,英雄の時空
V4BT,ルナ・スターベース,サイバー・ムーン,,UC,5,水,,クリーチャー,英雄の時空
GIBT,ルナ・ブリッツホーク,サイバー・ムーン,,SR,6,水,,クリーチャー,英雄の時空
SYBT,アナライズ・チャージャー,呪文,,R,7,水,,呪文,英雄の時空
PUBT,ファンタジー・フィッシュ,ゲル・フィッシュ,,R,7,水,,クリーチャー,英雄の時空
