id,name,tribe1,tribe2,rarity,cost,culture1,culture2,category,series
JMBX,冒険妖精ポレゴン,スノーフェアリー,,C,1,自然,,クリーチャー,英雄の時空
SYBX,愛嬌妖精サエポヨ,スノーフェアリー,,C,2,自然,,クリーチャー,英雄の時空
ZABW,ダイヤモンド・ブリザード,スノーフェアリー,,SR,3,自然,,クリーチャー,英雄の時空
GIBX,神秘の宝箱,呪文,,R,3,自然,,呪文,英雄の時空
PUBX,氷結ハンマー,呪文,,UC,3,自然,,呪文,英雄の時空
AABX,魅了妖精チャミリア,スノーフェアリー,,R,4,自然,,クリーチャー,英雄の時空
MQBX,食獣セニア,ツリーフォーク,,UC,4,自然,,クリーチャー,英雄の時空
ZABX,シェル・レガシー,コロニー・ビートル,,C,4,自然,,クリーチャー,英雄の時空
4EBK,プラント・トラップ,呪文,,UC,5,自然,,呪文,英雄の時空
4EBX,荒野の猛進,ビーストフォーク,,C,5,自然,,クリーチャー,英雄の時空
DEBX,哀哭の超人,ジャイアント,,R,7,自然,,クリーチャー,英雄の時空
4EBW,緑神龍アーク・デラセルナ,アース・ドラゴン,,VR,8,自然,,クリーチャー,英雄の時空
