id,name,tribe1,tribe2,rarity,cost,culture1,culture2,category,series
PUBZ,腐敗電脳メルニア,リキッド・ピープル,ゴースト,UC,2,水,闇,クリーチャー,英雄の時空
4EBZ,腐敗勇騎マルドゥクス,ゴースト,ヒューマノイド,UC,3,火,闇,クリーチャー,英雄の時空
JMB2,翔天魔獣ギガッピ,キマイラ,ファイアー・バード,C,3,火,闇,クリーチャー,英雄の時空
GIB2,電影妖魔ドルメール,マーフォーク,ヘドリアン,C,3,水,闇,クリーチャー,英雄の時空
4EBY,幻槍のジルコン,スピリット・クォーツ,,R,3,水,闇,クリーチャー,英雄の時空
DEBZ,腐敗電脳アクアポインター,リキッド・ピープル,ゴースト,R,5,水,闇,クリーチャー,英雄の時空
SYBY,覚醒のタンザナイト,スピリット・クォーツ,,VR,6,水,闇,クリーチャー,英雄の時空
GIBZ,腐敗勇騎ガレック,ゴースト,ヒューマノイド,R,5,闇,火,クリーチャー,英雄の時空
DEBY,神滅竜騎ガルザーク,アーマード・ドラゴン,ドラゴン・ゾンビ,SR,6,闇,火,クリーチャー,英雄の時空
V4BY,根絶のデクロワゾー,スピリット・クォーツ,,VR,6,闇,火,クリーチャー,英雄の時空
AAB2,無頼勇騎ゴンタ,ヒューマノイド,ビーストフォーク,C,2,火,自然,クリーチャー,英雄の時空
V4BZ,瞬発のタグタップ,スピリット・クォーツ,,UC,3,火,自然,クリーチャー,英雄の時空
ZABZ,無頼聖者サンフィスト,ビーストフォーク,イニシエート,UC,3,光,自然,クリーチャー,英雄の時空
MQB2,勇猛幻風グリタリス,ホーン・ビースト,レインボー・ファントム,C,3,光,自然,クリーチャー,英雄の時空
PUBY,霊光の化身,ミステリー・トーテム,,VR,4,光,自然,クリーチャー,英雄の時空
JMBZ,無頼勇騎ウインドアックス,ヒューマノイド,ビーストフォーク,R,5,火,自然,クリーチャー,英雄の時空
MQBZ,無頼聖者スカイソード,ビーストフォーク,イニシエート,R,5,光,自然,クリーチャー,英雄の時空
ZABY,無双竜機ドルザーク,アーマード・ドラゴン,アース・ドラゴン,VR,6,火,自然,クリーチャー,英雄の時空
GIBY,無双竜機ボルバルザーク,アーマード・ドラゴン,アース・ドラゴン,SR,7,火,自然,クリーチャー,英雄の時空
JMBY,剛撃聖霊エリクシア,エンジェル・コマンド,ジャイアント,SR,7,光,自然,クリーチャー,英雄の時空
SYBZ,電脳聖者タージマル,イニシエート,リキッド・ピープル,UC,3,光,水,クリーチャー,英雄の時空
DEB2,電磁賢者シリオン,グラディエーター,サイバーロード,C,3,光,水,クリーチャー,英雄の時空
MQBY,アクア・リバイバー,リキッド・ピープル,,VR,4,光,水,クリーチャー,英雄の時空
AABZ,電脳聖者エストール,イニシエート,リキッド・ピープル,R,5,光,水,クリーチャー,英雄の時空
AABY,陽炎の守護者・ブルーメルキス,ガーディアン,,SR,6,光,水,クリーチャー,英雄の時空
