id,name,tribe1,tribe2,rarity,cost,culture1,culture2,category,series
AABS,聖天使グライス・メジキューラ,イニシエート,,SR,2,光,,クリーチャー,英雄の時空
DEBS,曙の守護者パラ・オーレシス,ガーディアン,,R,3,光,,クリーチャー,英雄の時空
ZABS,雲海の守護者メッサ・バーナ,ガーディアン,,C,3,光,,クリーチャー,英雄の時空
4EBS,碧空の守護者リムル・エイド,ガーディアン,,C,3,光,,クリーチャー,英雄の時空
AABT,滅罪の使途レミーラ,イニシエート,,C,4,光,,クリーチャー,英雄の時空
V4BS,ジャスティス・バインド,呪文,,UC,4,光,,呪文,英雄の時空
PUBS,日向草,スターライト・ツリー,,R,5,光,,クリーチャー,英雄の時空
GIBS,予言者リク,ライトブリンガー,,R,5,光,,クリーチャー,英雄の時空
DEBT,警鐘の精霊セシール,エンジェル・コマンド,,C,5,光,,クリーチャー,英雄の時空
MQBS,ゲット・レディ,呪文,,UC,5,光,,呪文,英雄の時空
SYBS,飛雲の求道者ダバ・トーレ,メガサンダー,,UC,6,光,,クリーチャー,英雄の時空
JMBS,彗星の精霊リムエル,エンジェル・コマンド,,VR,8,光,,クリーチャー,英雄の時空
