id,name,tribe1,tribe2,rarity,cost,culture1,culture2,category,series
AABL,雪渓妖精マルル,スノーフェアリー,,UC,2,自然,,クリーチャー,伝説の再誕
V4BX,雪溶妖精シャーマン・メリッサ,スノーフェアリー,,C,2,自然,,クリーチャー,伝説の再誕
DEBL,怒髪の豪腕,ビーストフォーク,,C,2,自然,,クリーチャー,伝説の再誕
MQBL,パワー・チャージャー,呪文,,C,3,自然,,呪文,伝説の再誕
MQBK,龍の呼び声,呪文,,R,3,自然,,呪文,伝説の再誕
GIBK,誕生の祈,ビーストフォーク,,R,3,自然,,クリーチャー,伝説の再誕
PUBK,ソイル・チャージャー,呪文,,R,4,自然,,呪文,伝説の再誕
SYBK,沈黙するバックラー・ホーン,ホーン・ビースト,,UC,4,自然,,クリーチャー,伝説の再誕
JMBK,レベリオン・クワキリ,ギガント・インセクト,,R,4,自然,,クリーチャー,伝説の再誕
GIBL,春風妖精ポップル,スノーフェアリー,,C,4,自然,,クリーチャー,伝説の再誕
ZABJ,幻想妖精カチュア,スノーフェアリー,,SR,5,自然,,クリーチャー,伝説の再誕
V4BK,緑神龍グレガリゴン,アース・ドラゴン,,UC,5,自然,,クリーチャー,伝説の再誕
JMBL,突然の超人,ジャイアント,,C,5,自然,,クリーチャー,伝説の再誕
AABK,緑神龍ジオブリード,アース・ドラゴン,,VR,6,自然,,クリーチャー,伝説の再誕
ZABK,緑神龍アンリストヴァル,アース・ドラゴン,,UC,6,自然,,クリーチャー,伝説の再誕
4EBJ,超神龍バイラス・テンペスト,アース・ドラゴン,,SR,8,自然,,クリーチャー,伝説の再誕
DEBK,薩摩の超人,ジャイアント,,VR,9,自然,,クリーチャー,伝説の再誕
