id,name,tribe1,tribe2,rarity,cost,culture1,culture2,category,series
4EBU,孤独の影ロンリー・ウォーカー,ゴースト,,UC,1,闇,,クリーチャー,英雄の時空
AABV,騒乱の影ウエスタン・バレル,ゴースト,,UC,3,闇,,クリーチャー,英雄の時空
SYBU,機械人形ガチャック,デスパペット,,UC,3,闇,,クリーチャー,英雄の時空
JMBV,砂男,ヘドリアン,,C,3,闇,,クリーチャー,英雄の時空
GIBV,貪欲の影グレイ・バルーン,ゴースト,,C,3,闇,,クリーチャー,英雄の時空
PUBV,ブラッディ・チャージャー,呪文,,C,3,闇,,呪文,英雄の時空
V4BU,黒神龍ジャグラヴィーン,ドラゴン・ゾンビ,,R,4,闇,,クリーチャー,英雄の時空
DEBV,ギガクローズ,キマイラ,,R,5,闇,,クリーチャー,英雄の時空
MQBV,煉獄の巨兵グアルダ,デーモン・コマンド,,C,5,闇,,クリーチャー,英雄の時空
DEBH,デモニック・バイス,呪文,,R,5,闇,,呪文,英雄の時空
MQBU,黒神龍ブライゼナーガ,ドラゴン・ゾンビ,,SR,6,闇,,クリーチャー,英雄の時空
PUBU,邪悪の魔黒デビル・マーシャル,ゴースト,,VR,6,闇,,クリーチャー,英雄の時空
